series_id        	year	period	       value	footnote_codes
APU0000701111    	1980	M01	       0.203	
APU0000701111    	1980	M02	       0.205	
APU0000701111    	1980	M03	       0.211	
APU0000701111    	1980	M04	       0.206	
APU0000701111    	1980	M05	       0.207	
APU0000701111    	1980	M06	       0.210	
APU0000701111    	1980	M07	       0.214	
APU0000701111    	1980	M08	       0.215	
APU0000701111    	1980	M09	       0.214	
APU0000701111    	1980	M10	       0.212	
APU0000701111    	1980	M11	       0.211	
APU0000701111    	1980	M12	       0.211	
APU0000701111    	1981	M01	       0.217	
APU0000701111    	1981	M02	       0.222	
APU0000701111    	1981	M03	       0.224	
APU0000701111    	1981	M04	       0.225	
APU0000701111    	1981	M05	       0.227	
APU0000701111    	1981	M06	       0.228	
APU0000701111    	1981	M07	       0.228	
APU0000701111    	1981	M08	       0.230	
APU0000701111    	1981	M09	       0.225	
APU0000701111    	1981	M10	       0.226	
APU0000701111    	1981	M11	       0.221	
APU0000701111    	1981	M12	       0.218	
APU0000701111    	1982	M01	       0.224	
APU0000701111    	1982	M02	       0.226	
APU0000701111    	1982	M03	       0.223	
APU0000701111    	1982	M04	       0.220	
APU0000701111    	1982	M05	       0.228	
APU0000701111    	1982	M06	       0.227	
APU0000701111    	1982	M07	       0.232	
APU0000701111    	1982	M08	       0.227	
APU0000701111    	1982	M09	       0.223	
APU0000701111    	1982	M10	       0.221	
APU0000701111    	1982	M11	       0.216	
APU0000701111    	1982	M12	       0.216	
APU0000701111    	1983	M01	       0.217	
APU0000701111    	1983	M02	       0.214	
APU0000701111    	1983	M03	       0.211	
APU0000701111    	1983	M04	       0.213	
APU0000701111    	1983	M05	       0.216	
APU0000701111    	1983	M06	       0.223	
APU0000701111    	1983	M07	       0.223	
APU0000701111    	1983	M08	       0.227	
APU0000701111    	1983	M09	       0.223	
APU0000701111    	1983	M10	       0.219	
APU0000701111    	1983	M11	       0.217	
APU0000701111    	1983	M12	       0.211	
APU0000701111    	1984	M01	       0.213	
APU0000701111    	1984	M02	       0.216	
APU0000701111    	1984	M03	       0.216	
