id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"nc",,,"",,"","2016-09-08 20:38:41.131652+00","t","t","f","366.97","N.C.","Supreme Court of North Carolina","Supreme Court of North Carolina","http://www.nccourts.org/courts/appellate/supreme/","1799-01-01",,"S","Created by Lawbox
Start date: http://www.carolana.com/NC/Courts/nc_supreme_court_history.html",
"minnag",,,"",,"","2017-02-01 17:56:35.255825+00","t","t","f","365.4","Minn. Att'y Gen.","Minnesota Attorney General Reports","Minnesota Attorney General Reports","http://www.ag.state.mn.us/office/opinions/DATE.asp",,,"SAG","",
"arizsuper",,,"",,"","2017-10-02 21:06:41.874279+00","f","f","f","322.3","Ariz. Super. Ct.","Arizona Superior Court","Arizona Superior Court","http://www.azcourts.gov/AZ-Courts/Superior-Court",,,"ST","",
"vtsuperct",,,"",,"","2018-04-23 23:31:46.174336+00","t","t","f","369.25","Vt. Super. Ct. ","Vermont Superior Court","Vermont Superior Court","https://www.vermontjudiciary.org/court-divisions",,,"SA","",
"mesuperct",,,"",,"","2023-12-29 00:48:23.212737+00","t","t","f","362.56","Me. Super. Ct","Maine Superior","Superior Court of Maine","",,,"ST","",
"moctapped",,,"",,"","2024-06-18 14:46:56.61955+00","f","f","f","366.052","","Mo. Ct. of App, East. Dist.","Missouri Court of Appeals, Eastern District","",,,"SA","","moctapp"
"mtd","111","t","all",,"77","2024-11-11 10:49:18.668232+00","t","t","f","242.19","D. Mont.","D. Montana","District Court, D. Montana","http://www.mtd.uscourts.gov/",,,"FD","Lawbox",
"gaoyertermct",,,"",,"","2022-02-04 15:07:03.536707+00","f","f","f","356.05","","Georgia Court of Oyer and Terminer","Georgia Court of Oyer and Terminer","",,,"SS","",
"ncbizct",,,"",,"","2025-05-20 18:54:04.786775+00","t","t","f","366.986","N.C. Bus. Ct.","North Carolina Business Court","North Carolina Business Court","",,,"SS","",
"ganb","54","t","all",,"3E","2020-07-28 06:18:28.575134+00","t","f","f","179.9","Bankr. N.D. Ga.","N.D. Georgia","United States Bankruptcy Court, N.D. Georgia","http://www.ganb.uscourts.gov/",,,"FB","Lawbox",
